GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,QSPE001,NAME_M,QSPM001
"G44000100305003","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030500","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010305003",,,"Block Group 3, Census Tract 305, Bristol County, Rhode Island",1398,"Block Group 3, Census Tract 305, Bristol County, Rhode Island",237
"G44000100306011","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030601","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010306011",,,"Block Group 1, Census Tract 306.01, Bristol County, Rhode Island",1027,"Block Group 1, Census Tract 306.01, Bristol County, Rhode Island",256
"G44000100306012","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030601","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010306012",,,"Block Group 2, Census Tract 306.01, Bristol County, Rhode Island",1425,"Block Group 2, Census Tract 306.01, Bristol County, Rhode Island",240
"G44000100306013","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030601","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010306013",,,"Block Group 3, Census Tract 306.01, Bristol County, Rhode Island",1111,"Block Group 3, Census Tract 306.01, Bristol County, Rhode Island",245
"G44000100306021","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030602","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010306021",,,"Block Group 1, Census Tract 306.02, Bristol County, Rhode Island",1185,"Block Group 1, Census Tract 306.02, Bristol County, Rhode Island",233
"G44000100306022","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030602","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010306022",,,"Block Group 2, Census Tract 306.02, Bristol County, Rhode Island",747,"Block Group 2, Census Tract 306.02, Bristol County, Rhode Island",221
"G44000100306023","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030602","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010306023",,,"Block Group 3, Census Tract 306.02, Bristol County, Rhode Island",1391,"Block Group 3, Census Tract 306.02, Bristol County, Rhode Island",257
"G44000100306024","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030602","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010306024",,,"Block Group 4, Census Tract 306.02, Bristol County, Rhode Island",578,"Block Group 4, Census Tract 306.02, Bristol County, Rhode Island",175
"G44000100307001","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030700","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010307001",,,"Block Group 1, Census Tract 307, Bristol County, Rhode Island",894,"Block Group 1, Census Tract 307, Bristol County, Rhode Island",278
"G44000100307002","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030700","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010307002",,,"Block Group 2, Census Tract 307, Bristol County, Rhode Island",962,"Block Group 2, Census Tract 307, Bristol County, Rhode Island",193
"G44000100307003","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030700","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010307003",,,"Block Group 3, Census Tract 307, Bristol County, Rhode Island",632,"Block Group 3, Census Tract 307, Bristol County, Rhode Island",189
"G44000100307004","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030700","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010307004",,,"Block Group 4, Census Tract 307, Bristol County, Rhode Island",1304,"Block Group 4, Census Tract 307, Bristol County, Rhode Island",325
"G44000100308001","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030800","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010308001",,,"Block Group 1, Census Tract 308, Bristol County, Rhode Island",1078,"Block Group 1, Census Tract 308, Bristol County, Rhode Island",202
"G44000100308002","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030800","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010308002",,,"Block Group 2, Census Tract 308, Bristol County, Rhode Island",1325,"Block Group 2, Census Tract 308, Bristol County, Rhode Island",244
"G44000100308003","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030800","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010308003",,,"Block Group 3, Census Tract 308, Bristol County, Rhode Island",1040,"Block Group 3, Census Tract 308, Bristol County, Rhode Island",245
"G44000100308004","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030800","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010308004",,,"Block Group 4, Census Tract 308, Bristol County, Rhode Island",1984,"Block Group 4, Census Tract 308, Bristol County, Rhode Island",400
"G44000100309011","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030901","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010309011",,,"Block Group 1, Census Tract 309.01, Bristol County, Rhode Island",2505,"Block Group 1, Census Tract 309.01, Bristol County, Rhode Island",437
"G44000100309012","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030901","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010309012",,,"Block Group 2, Census Tract 309.01, Bristol County, Rhode Island",2721,"Block Group 2, Census Tract 309.01, Bristol County, Rhode Island",431
